id,name,symbol,cmc_rank,price,percent_change_1h,percent_change_24h,market_cap,volume_24h,last_updated
2416,Theta Network,THETA,95,0.8259311949937634,0.13336223,-2.43624201,825931194.9937634,27070776.29377357,2025-09-20T08:35:00.000Z
1437,Zcash,ZEC,96,50.429397874434486,0.22306488,2.66346523,818157652.3707502,97784673.8029672,2025-09-20T08:35:00.000Z
2011,Tezos,XTZ,97,0.7609183345440973,-0.04086846,-3.87834622,805861165.6064204,27175829.34687937,2025-09-20T08:34:00.000Z
7080,Gala,GALA,98,0.017506727882651313,0.43466728,-3.74244369,805811809.8726983,88145254.03525025,2025-09-20T08:34:00.000Z
33597,Fartcoin,FARTCOIN,99,0.7815975115341124,-0.830591,-14.59801662,781596148.4280523,174270852.46673167,2025-09-20T08:35:00.000Z
29814,ether.fi,ETHFI,100,1.5126386491294452,0.68747228,-5.00070368,775277583.2496217,103885276.82230392,2025-09-20T08:34:00.000Z
6210,The Sandbox,SAND,101,0.3005734851617635,0.09018731,-3.45154053,773462500.8356632,55908074.15574513,2025-09-20T08:35:00.000Z
1720,IOTA,IOTA,102,0.18841001129960364,-0.01247701,-1.80873025,761678362.3841004,17471967.34827505,2025-09-20T08:35:00.000Z
30083,Aethir,ATH,103,0.06151822075303227,-2.4706487,-1.93816892,751147342.5480235,110657392.33628453,2025-09-20T08:35:00.000Z
36462,Vaulta,A,104,0.4712201942981277,-0.08700229,-1.89637202,750164268.7636149,32930265.22967407,2025-09-20T08:35:00.000Z
34387,Ripple USD,RLUSD,105,0.9999104854276464,0.01632968,0.01000384,729885480.224376,79924322.53246158,2025-09-20T08:35:00.000Z
7326,DeXe,DEXE,106,8.626458690077802,-0.49977481,5.61294141,722324850.7412322,86444551.3890881,2025-09-20T08:35:00.000Z
8425,JasmyCoin,JASMY,107,0.014370896819522467,0.11851763,-0.64061711,710568988.6019257,27879412.13473949,2025-09-20T08:34:00.000Z
28541,Jito,JTO,108,1.8696131022430929,0.14517872,-5.27404834,709401732.797246,38227105.09064035,2025-09-20T08:35:00.000Z
34104,Morpho,MORPHO,109,2.0833099868798,-0.35591275,-5.62957624,705827623.9506146,29991889.14206956,2025-09-20T08:35:00.000Z
3871,AB,AB,110,0.008445768456508367,0.02685156,-0.50617149,660536584.2038295,26737613.2746989,2025-09-20T08:35:00.000Z
1966,Decentraland,MANA,111,0.32844174336479426,-0.02145568,-2.0249955,646941230.1217254,38732624.27810287,2025-09-20T08:34:00.000Z
16086,BitTorrent [New],BTT,112,6.547635772751937e-07,1.2325744,1.46857018,645636921.309115,14568647.72088039,2025-09-20T08:35:00.000Z
4558,Flow,FLOW,113,0.3993015137587004,0.072191,-3.43763354,642818808.6064494,17541699.897131,2025-09-20T08:35:00.000Z
10529,Sun [New],SUN,114,0.03303578311098327,3.81570092,43.26806275,633165265.6826026,387583078.79529685,2025-09-20T08:35:00.000Z
30494,EigenLayer,EIGEN,115,1.8658061755951345,0.37611843,-2.48778078,631021864.6236755,131581717.15648636,2025-09-20T08:35:00.000Z
36119,Walrus,WAL,116,0.42280738121735784,-0.12144099,-2.70220755,611485175.0856037,12645010.70137931,2025-09-20T08:35:00.000Z
23635,Four,FORM,117,1.597337346032725,-1.06108018,-13.52263301,609970827.8694352,53398559.06064125,2025-09-20T08:35:00.000Z
29587,Wormhole,W,118,0.12532838288656492,0.3571547,10.61770619,597536409.278622,242070943.67829335,2025-09-20T08:35:00.000Z
22691,Starknet,STRK,119,0.13077755993789558,0.50211155,-1.87482842,533197118.61866486,35044330.72494263,2025-09-20T08:35:00.000Z
19891,USDD,USDD,120,1.0007298984413127,0.00611629,0.03603142,532050184.3563425,3825773.47565519,2025-09-20T08:35:00.000Z
28324,dYdX,DYDX,121,0.6743035943008802,-0.03604023,-1.12184233,527774693.88376844,17215141.56876192,2025-09-20T08:35:00.000Z
29743,Brett (Based),BRETT,122,0.05301771586937765,0.06880422,-2.61251351,525418097.3884755,50437403.64615555,2025-09-20T08:35:00.000Z
3602,Bitcoin SV,BSV,123,25.81005582345442,0.10848376,-1.64160836,514197933.5114905,39727809.27832667,2025-09-20T08:35:00.000Z
33824,Maple Finance,SYRUP,124,0.4280858417715929,-0.29154395,-1.94743838,511478643.1792774,25728257.5077733,2025-09-20T08:34:00.000Z
36532,BUILDon,B,125,0.49312621721007016,-0.38658245,0.88056901,493126217.21007013,13187943.29296503,2025-09-20T08:35:00.000Z
2563,TrueUSD,TUSD,126,0.9970134623722766,0.00606604,0.09877252,493038195.09714377,46727730.94173595,2025-09-20T08:34:00.000Z
26997,LayerZero,ZRO,127,1.993957464769061,0.27993908,-1.30875203,490542487.8358132,29194852.8263957,2025-09-20T08:35:00.000Z
5964,Trust Wallet Token,TWT,128,1.1390146884700678,-2.05600862,4.97059613,489617441.1022546,328058845.53886145,2025-09-20T08:35:00.000Z
5665,Helium,HNT,129,2.5528496469719473,0.3382151,-1.40890005,475490411.8522451,4112856.69860265,2025-09-20T08:35:00.000Z
33391,DeepBook Protocol,DEEP,130,0.1332904202718784,-0.11165282,-3.46337489,469582150.6178276,21364132.15740681,2025-09-20T08:35:00.000Z
1376,Neo,NEO,131,6.656403119538841,0.21025781,-1.90248597,469534894.71702313,19990653.76210702,2025-09-20T08:35:00.000Z
23254,Core,CORE,132,0.45118603139795077,-0.0373022,-1.55178724,456639689.6034982,18243636.97782664,2025-09-20T08:35:00.000Z
24091,ZKsync,ZK,133,0.055815927940665346,0.40073524,-2.36460663,450493181.12709665,22613907.9115907,2025-09-20T08:35:00.000Z
4157,THORChain,RUNE,134,1.276809006910331,-0.01190106,-3.89792169,448538544.2337382,34720263.73704689,2025-09-20T08:35:00.000Z
18876,ApeCoin,APE,135,0.5937263738889101,0.31035756,-1.65180092,446869054.80294466,27721995.76474819,2025-09-20T08:35:00.000Z
5632,Arweave,AR,136,6.797127452860772,0.14796505,-3.11878896,446248178.99660844,42320407.7240956,2025-09-20T08:35:00.000Z
3964,Reserve Rights,RSR,137,0.0073964594254458,0.06284234,-2.86566207,443706215.75266874,14612394.76319647,2025-09-20T08:35:00.000Z
9816,APENFT,NFT,138,4.409571545785098e-07,-0.00142719,0.00132056,440952745.006964,13825096.25265566,2025-09-20T08:35:00.000Z
27657,Linea,LINEA,139,0.027978309141421895,-1.70042268,-4.63465291,433164318.72050035,602933333.1144868,2025-09-20T08:34:00.000Z
18679,Onyxcoin,XCN,140,0.012283511831615376,0.15303147,-1.86139456,430552493.5188069,23691028.4260494,2025-09-20T08:34:00.000Z
4066,Chiliz,CHZ,141,0.042292453929665304,0.17102246,-1.51661039,422729317.8791156,28609575.06154279,2025-09-20T08:35:00.000Z
5692,Compound,COMP,142,44.372941093358484,0.10766411,-2.02263535,420144249.40191,18913624.65365803,2025-09-20T08:35:00.000Z
